icao,lat,lon
04WI,42.5234,-88.0167
04WY,44.8333,-105.351
04Y,46.8839,-96.3509
05A,32.3001,-110.365
05AK,61.6661,-149.182
05AR,36.1042,-94.1544
05B,47.1589,-67.932
05C,41.5196,-87.4011
05CL,38.6107,-122.391
05CO,40.2192,-104.984
05D,47.967,-102.478
05F,31.4213,-97.797
05FL,26.5231,-81.4083
05IA,43.1375,-93.0683
05ID,45.9141,-114.836
05II,41.0287,-84.9972
05IL,41.1567,-88.0167
05IN,39.642,-86.5042
05IS,39.7259,-89.264
05KS,37.2662,-95.9592
05KY,37.6454,-84.283
05LA,32.2653,-91.6978
05MD,39.2501,-76.2052
05MN,44.6344,-93.0724
05MT,45.3541,-111.735
05ND,47.2078,-97.4712
05NE,41.7222,-98.309
05OI,41.2884,-81.9626
05OK,35.8534,-97.5675
05OR,45.4415,-117.351
05Q,38.2638,-120.923
05S,45.8515,-123.242
05TA,29.8091,-96.2651
05TE,30.7221,-97.7914
05TN,35.557,-89.5529
05TS,33.1293,-97.3586
05TX,32.1292,-97.4042
05U,39.6042,-116.005
05UT,37.0333,-110.317
05V,37.4111,-105.552
05VA,37.2242,-78.4186
05W,35.5816,-76.5155
05WI,42.6511,-88.7459
05XS,33.0793,-91.5432
05Y,46.3038,-95.4395
06A,32.4605,-85.68
06AR,35.5445,-92.1849
06AZ,35.7917,-110.423
06B,44.907,-68.805
06C,41.9893,-88.1012
06D,48.8843,-99.6209
06FA,26.9084,-80.3289
06I,38.4334,-86.6911
06IA,41.8414,-91.8343
06ID,43.4627,-116.359
06II,40.0231,-86.0375
06IL,41.5995,-88.8699
06IN,39.2828,-87.3036
06IS,40.5464,-91.2743
06M,33.5346,-89.3126
06MN,47.6519,-92.4167
06MO,39.2306,-94.8044
06MT,48.5583,-112.109
06N,41.4316,-74.3919
06NC,34.8275,-78.9303
06ND,46.7489,-101.669
06NH,42.9284,-70.9731
06NY,42.8428,-76.4453
06OH,41.5098,-80.5912
06OI,39.7348,-84.3822
06OR,45.4651,-123.08
06PA,42.0084,-78.2581
06R,29.9419,-96.2461
06SN,37.5839,-97.2531
06TA,30.9085,-97.1169
06TE,30.3127,-95.0269
06TN,35.6973,-86.9569
06TS,32.1207,-96.1791
06TX,30.0576,-95.8129
06U,41.976,-114.658
06VA,38.249,-78.8553
06VT,43.1338,-73.0774
06WI,45.6627,-92.4502
06Y,45.83,-96.1606
07A,32.1696,-85.8097
07AR,35.1945,-92.8002
07B,44.4404,-68.5661
07C,41.3072,-85.0643
07CL,39.4977,-121.771
07D,43.0634,-82.7249
07F,32.5288,-94.9717
07FA,25.3254,-80.2748
07FD,30.418,-83.2838
07GA,33.675,-83.7631
07I,39.0586,-86.4461
